"","id","Pre","Train","Post"
"1","SE01",4,9,5
"2","SE03",5,11,4
"3","SE04",3,4,1
"4","SE05",6,8,1
"5","SE07",6,7,4
"6","SE08",4,9,6
"7","SE10",6,10,5
"8","SE100",2,3,1
"9","SE101",6,9,3
"10","SE102",5,11,5
"11","SE103",4,11,6
"12","SE105",2,8,4
"13","SE106",3,7,3
"14","SE108",5,11,2
"15","SE109",5,10,4
"16","SE110",6,9,3
"17","SE111",5,12,6
"18","SE112",6,9,3
"19","SE12",5,11,3
"20","SE15",5,7,6
"21","SE17",6,7,2
"22","SE19",5,10,4
"23","SE20",3,9,5
"24","SE21",4,11,1
"25","SE23",5,7,3
"26","SE24",6,11,2
"27","SE25",6,9,2
"28","SE26",0,1,1
"29","SE28",5,5,1
"30","SE29",6,9,2
"31","SE30",6,6,5
"32","SE31",5,10,5
"33","SE32",0,2,0
"34","SE33",3,1,1
"35","SE34",2,8,4
"36","SE35",5,7,4
"37","SE36",4,8,0
"38","SE38",2,8,3
"39","SE39",4,4,0
"40","SE40",3,8,3
"41","SE41",6,10,1
"42","SE42",3,4,1
"43","SE43",4,6,3
"44","SE44",5,8,2
"45","SE48",4,8,3
"46","SE49",3,6,4
"47","SE50",6,8,2
"48","SE52",6,7,4
"49","SE53",1,4,0
"50","SE54",4,4,2
"51","SE55",5,6,2
"52","SE57",6,10,5
"53","SE59",2,6,1
"54","SE61",5,10,3
"55","SE62",6,10,3
"56","SE64",6,5,3
"57","SE65",5,4,3
"58","SE66",5,6,3
"59","SE67",6,11,5
"60","SE68",3,2,2
"61","SE70",2,8,2
"62","SE71",2,6,2
"63","SE74",6,12,5
"64","SE76",6,8,4
"65","SE78",6,12,5
"66","SE79",1,5,2
"67","SE81",4,8,5
"68","SE82",4,10,3
"69","SE83",4,7,2
"70","SE84",3,5,2
"71","SE85",3,3,1
"72","SE86",3,7,2
"73","SE87",5,10,6
"74","SE88",6,11,5
"75","SE91",5,11,3
"76","SE92",5,5,5
"77","SE94",2,4,1
"78","SE95",3,8,1
"79","SE96",2,5,1
"80","SE97",1,3,0
"81","SE98",5,3,1
